"match_id","total"
15875,185
15876,122
15877,138
15878,194
15879,183
15880,219
15881,182
15882,164
15883,141
15884,191
15885,161
15886,209
15887,184
15888,164
15889,137
15890,127
15891,193
15892,143
15893,145
15894,206
15895,180
15896,189
15897,211
15898,179
15899,173
15900,170
15901,133
15902,163
15903,156
15904,127
15905,184
15906,129
15907,150
15908,177
15909,145
15910,177
15911,182
15912,179
15913,174
15914,140
15915,164
15916,147
15917,156
15918,158
15919,124
15920,169
15921,175
15922,160
15923,188
15924,130
15925,147
15926,201
15927,194
15928,132
15929,132
15930,134
15931,145
15932,187
15933,137
15934,178
15935,176
15936,230
15937,205
15938,189
15939,117
15940,212
15941,170
15942,125
15943,125
15944,158
15945,198
15946,166
15947,115
15948,114
15949,167
15950,175
15951,170
15952,173
15953,129
15954,162
15955,182
15956,176
15957,149
15958,148
15959,191
15960,177
15961,170
15962,170
15977,117
15978,210
15979,146
15980,112
15981,194
15982,156
15983,189
15984,158
15985,194
15986,178
15987,184
15997,172
15998,175
15999,151
16000,207
16001,168
16002,158
16009,203
16014,140
16015,125
16016,126
16017,188
16018,166
16019,143
16020,161
16021,112
16022,113
16023,168
16024,159
16025,144
16026,84
16027,170
16028,135
16029,152
16030,125
16031,162
16032,141
16033,156
16034,144
16035,155
16036,119
16037,170
16038,144
16039,140
16040,144
16041,131
16042,187
16043,141
16044,105
16045,154
16046,114
16047,158
16048,129
16049,139
16050,158
16051,130
16052,131
16053,192
16054,135
16055,169
16056,158
16057,166
16058,153
16059,154
16060,170
16061,166
16062,193
16063,191
16064,180
16065,185
16066,150
16067,119
16068,152
16069,156
16070,193
16071,161
16072,104
16073,135
16074,158
16075,172
16076,211
16077,106
16078,173
16079,149
16080,133
16081,145
16082,106
16083,157
16084,175
16085,181
16086,172
16087,135
16088,173
16089,101
16090,156
16091,185
16092,199
16093,168
16094,167
16095,128
16096,143
16097,130
16098,166
16099,185
16100,212
16101,158
16102,164
16103,156
16104,166
16105,152
16106,129
16107,147
16108,153
16109,121
16110,171
16111,157
16112,167
16113,161
16116,206
16117,168
16118,177
16119,187
16120,210
16125,204
16126,149
16127,136
16128,165
16129,187
16130,151
16132,192
16133,184
16134,158
16135,172
16136,176
16138,133
16139,182
16140,120
16141,131
16142,169
16143,188
16144,140
16145,195
16146,204
16147,147
16148,201
16149,149
16150,104
16151,150
16152,161
16153,161
16154,160
16155,142
16156,202
16157,215
16158,154
16159,189
16160,210
16161,179
16162,148
16163,183
16164,173
16165,185
16166,166
16167,172
16168,137
16169,125
16170,150
16171,159
16172,182
16173,212
16174,130
16175,177
16176,175
16177,221
16178,135
16179,167
16180,172
16181,85
16182,178
16183,205
16184,174
16185,202
16186,155
16187,126
16188,199
16189,136
16190,123
16191,189
16198,135
16199,148
16200,184
16201,150
16202,211
16203,161
16204,170
16205,152
16206,168
16207,102
16208,180
16209,150
16210,189
16211,129
16212,193
16213,153
16214,159
16215,128
16216,224
16217,229
16218,124
16219,206
16220,206
16221,152
16222,150
16223,221
16224,175
16225,153
16226,154
16227,116
16228,153
16229,145
16230,156
16231,134
16232,140
16233,184
16234,142
16235,134
16236,177
16237,135
16238,155
16239,138
16240,147
16244,179
16255,141
16256,144
16257,230
16258,189
16259,170
16260,208
16261,204
16262,131
16263,175
16264,115
16265,173
16266,165
16267,184
16268,175
16269,171
16270,181
16271,159
16272,176
16273,129
16274,221
16275,122
16276,190
16277,154
16278,187
16279,169
16280,186
16281,181
16282,113
16283,190
16284,140
16285,169
16286,140
16287,177
16288,158
16289,180
16290,140
16291,147
16292,179
16293,152
16294,158
16295,104
16296,196
16297,203
16298,200
16299,203
16300,210
16301,144
16309,156
16310,152
16311,124
16312,170
16313,151
16314,138
16315,160
16316,139
16317,211
16318,201
16319,180
16320,185
16321,133
16322,165
16323,173
16324,175
16325,180
16326,214
16327,195
16328,188
16329,147
16330,119
16331,177
16332,178
16333,153
16334,118
16335,195
16336,127
16337,208
16338,172
16339,158
16340,161
16341,177
16342,216
16343,166
16344,151
16345,149
16346,162
16347,210
16348,160
16349,150
16350,133
16351,171
16352,138
16353,169
16354,189
16355,185
16356,116
16357,228
16358,169
16359,198
16360,180
16361,171
16362,196
16363,189
16364,119
16365,172
16366,175
16367,199
16368,184
16369,133
16370,145
16371,155
16372,188
16373,181
16374,120
16375,112
16376,141
16377,138
16378,166
16379,203
16380,127
16381,218
16382,175
16383,199
16384,191
16385,183
16386,173
16387,173
16388,130
16389,163
16390,189
16391,172
16392,180
16395,190
16396,200
16397,229
16398,181
16399,126
16400,225
16401,152
16402,134
16403,187
16404,178
16405,195
16406,167
16407,155
16408,142
16409,151
16410,174
16411,167
16412,159
16413,182
16414,213
16415,159
16416,188
16417,196
16418,236
16419,120
16420,117
16421,174
16422,162
16423,170
16424,175
16425,157
16426,165
16427,179
16428,125
16429,98
16430,180
16431,156
16432,189
16433,200
16434,152
16435,132
16442,138
16443,190
16444,175
16445,156
16446,183
16447,125
16448,183
16449,171
16450,141
16451,168
16452,142
16453,172
16454,128
16455,166
16456,151
16457,155
16458,161
16459,142
16460,144
16461,175
16462,173
16463,105
16464,247
16465,177
16466,172
16467,199
16468,214
16469,204
16470,146
16471,192
16472,171
16479,226
16480,155
16481,178
16482,138
16483,128
