"home_team","away_team","totals_quantile","home_score_mean","away_score_mean","shots","Date","season"
"Richmond","Carlton","175.768192902234","84.3817382375889","95.6302757224397","25.8267452336816",2023-03-16,"2023"
"Richmond","Carlton","183.681070884076","84.3817382375889","95.6302757224397","29.3324668829874",2023-03-16,"2023"
"Geelong","Collingwood","147.95375550788","58.9284568947855","93.1921048682878","18.0402378654065",2023-03-17,"2023"
"Geelong","Collingwood","155.638265807259","58.9284568947855","93.1921048682878","28.5627022895455",2023-03-17,"2023"
"North Melbourne","West Coast","111.388302944109","60.7429775502738","53.2482295258715","18.5903582369193",2023-03-18,"2023"
"North Melbourne","West Coast","116.126039531729","60.7429775502738","53.2482295258715","16.2929453136259",2023-03-18,"2023"
"Port Adelaide","Brisbane","162.582562509307","89.5635096864463","76.6005750083756","27.435111446437",2023-03-18,"2023"
"Port Adelaide","Brisbane","169.28260332803","89.5635096864463","76.6005750083756","23.5034949042124",2023-03-18,"2023"
"Melbourne","Western Bulldogs","160.566646171084","85.4062070042829","78.8239600064239","26.1718891948378",2023-03-18,"2023"
"Melbourne","Western Bulldogs","167.384181994326","85.4062070042829","78.8239600064239","24.1495913369194",2023-03-18,"2023"
"Gold Coast","Sydney","176.355613216134","78.5269069348638","102.240093927686","24.0375178251889",2023-03-18,"2023"
"Gold Coast","Sydney","184.722092947605","78.5269069348638","102.240093927686","31.272747211845",2023-03-18,"2023"
"GWS Giants","Adelaide","135.070486736165","76.0213258102402","62.1059166046372","23.2781955481372",2023-03-19,"2023"
"GWS Giants","Adelaide","140.652251182248","76.0213258102402","62.1059166046372","19.0311079255529",2023-03-19,"2023"
"Hawthorn","Essendon","151.221165288545","82.7286941753816","71.8446510870468","25.3379948297135",2023-03-19,"2023"
"Hawthorn","Essendon","157.437897807398","82.7286941753816","71.8446510870468","22.0080949891682",2023-03-19,"2023"
"St Kilda","Fremantle","131.579725948119","76.1471239506188","58.4670941031318","23.340842087364",2023-03-19,"2023"
"St Kilda","Fremantle","136.849273212037","76.1471239506188","58.4670941031318","17.9081840882283",2023-03-19,"2023"
